Campaign_Name,Platform,Date,Device,Age_Group,Gender,Impressions,Clicks,CTR,Website_Visits,Add_to_Cart,Checkout_Initiated,Purchases,Conversion_Rate,Spend,CPC,Revenue,ROAS,AOV,Cart_Abandonment_Rate,Checkout_Abandonment_Rate
Holiday_Sale_2024,google_ads,2024-11-01,Desktop,25-34,Female,850000,18500,2.18,15200,4800,2100,1450,7.84,42000,2.27,189000,4.5,130.34,68.42,30.95
Holiday_Sale_2024,google_ads,2024-11-01,Mobile,25-34,Female,1200000,22000,1.83,17500,5200,2400,1680,7.64,48000,2.18,226800,4.73,135.00,70.29,30.00
Holiday_Sale_2024,google_ads,2024-11-01,Tablet,25-34,Female,320000,5800,1.81,4500,1200,580,385,6.64,12000,2.07,50050,4.17,130.00,75.83,33.62
Holiday_Sale_2024,meta_ads,2024-11-01,Desktop,25-34,Female,680000,14200,2.09,11800,3600,1650,1120,7.89,32000,2.25,151200,4.73,135.00,69.49,32.12
Holiday_Sale_2024,meta_ads,2024-11-01,Mobile,25-34,Female,920000,17500,1.90,14200,4100,1900,1320,7.54,38000,2.17,178200,4.69,135.00,71.12,30.53
Holiday_Sale_2024,linkedin_ads,2024-11-01,Desktop,35-44,Male,420000,11200,2.67,9500,2400,1100,780,6.96,28000,2.50,148200,5.29,190.00,74.74,29.09
Holiday_Sale_2024,linkedin_ads,2024-11-01,Mobile,35-44,Male,280000,7800,2.79,6500,1650,750,520,6.67,18000,2.31,98800,5.49,190.00,74.55,30.67
Black_Friday_2024,google_ads,2024-11-24,Desktop,18-24,Female,1500000,35000,2.33,29000,9500,4800,3500,10.00,75000,2.14,560000,7.47,160.00,67.24,31.25
Black_Friday_2024,google_ads,2024-11-24,Mobile,18-24,Female,2100000,48000,2.29,40000,13200,6800,5000,10.42,95000,1.98,800000,8.42,160.00,67.05,32.35
Black_Friday_2024,google_ads,2024-11-24,Desktop,25-34,Female,1800000,42000,2.33,35000,11500,5900,4300,10.24,85000,2.02,688000,8.09,160.00,67.13,31.36
Black_Friday_2024,meta_ads,2024-11-24,Desktop,18-24,Female,1200000,28000,2.33,23500,7800,4000,2900,10.36,62000,2.21,464000,7.48,160.00,66.92,31.25
Black_Friday_2024,meta_ads,2024-11-24,Mobile,18-24,Female,1650000,38000,2.30,31500,10400,5400,3950,10.39,78000,2.05,632000,8.10,160.00,67.12,31.48
Black_Friday_2024,snapchat_ads,2024-11-24,Mobile,18-24,Female,1800000,32000,1.78,26500,8200,4100,2950,9.22,58000,1.81,472000,8.14,160.00,68.90,30.49
Cyber_Monday_2024,google_ads,2024-11-27,Desktop,25-34,Male,2000000,46000,2.30,38500,13500,7200,5400,11.74,92000,2.00,891000,9.68,165.00,64.81,25.00
Cyber_Monday_2024,google_ads,2024-11-27,Mobile,25-34,Male,2800000,64000,2.29,53500,18800,10200,7700,12.03,125000,1.95,1270500,10.16,165.00,64.36,25.49
Cyber_Monday_2024,google_ads,2024-11-27,Desktop,35-44,Male,1600000,38000,2.38,31500,11000,5900,4450,11.71,78000,2.05,734250,9.41,165.00,65.09,25.42
Cyber_Monday_2024,meta_ads,2024-11-27,Desktop,25-34,Male,1500000,35000,2.33,29000,10200,5500,4150,11.86,68000,1.94,684750,10.07,165.00,64.71,25.45
Cyber_Monday_2024,meta_ads,2024-11-27,Mobile,25-34,Male,2100000,48000,2.29,40000,14000,7600,5750,11.98,95000,1.98,948750,9.99,165.00,64.29,25.53
Cyber_Monday_2024,dv360,2024-11-27,Desktop,35-44,Male,2400000,52000,2.17,43000,14500,7800,5850,11.25,98000,1.88,965250,9.85,165.00,66.21,25.64
Cyber_Monday_2024,dv360,2024-11-27,Mobile,35-44,Male,1800000,38000,2.11,31500,10600,5700,4300,11.30,72000,1.89,709500,9.85,165.00,66.04,25.44
Summer_Sale_2024,google_ads,2024-07-15,Desktop,25-34,Female,1400000,32000,2.29,26500,7800,3900,2850,8.91,68000,2.13,370500,5.45,130.00,70.59,30.77
Summer_Sale_2024,google_ads,2024-07-15,Mobile,25-34,Female,1950000,44000,2.26,36500,10800,5400,3950,8.98,88000,2.00,513500,5.83,130.00,70.37,30.56
Summer_Sale_2024,meta_ads,2024-07-15,Desktop,25-34,Female,1100000,26000,2.36,21500,6400,3200,2350,9.04,58000,2.23,305500,5.27,130.00,70.31,31.25
Summer_Sale_2024,meta_ads,2024-07-15,Mobile,25-34,Female,1550000,36000,2.32,29800,8800,4400,3200,8.89,75000,2.08,416000,5.55,130.00,70.45,31.82
Summer_Sale_2024,snapchat_ads,2024-07-15,Mobile,18-24,Female,1650000,30000,1.82,24800,7200,3500,2500,8.33,55000,1.83,325000,5.91,130.00,71.01,30.56
Back_To_School_2024,google_ads,2024-08-20,Desktop,35-44,Male,1200000,28000,2.33,23500,6800,3400,2500,8.93,58000,2.07,387500,6.68,155.00,71.08,30.88
Back_To_School_2024,google_ads,2024-08-20,Mobile,35-44,Male,1680000,38000,2.26,31500,9200,4600,3400,8.95,78000,2.05,527000,6.76,155.00,70.87,30.43
Back_To_School_2024,meta_ads,2024-08-20,Desktop,35-44,Male,950000,22000,2.32,18200,5300,2650,1950,8.86,48000,2.18,302250,6.30,155.00,70.88,30.66
Back_To_School_2024,meta_ads,2024-08-20,Mobile,35-44,Male,1350000,31000,2.30,25600,7500,3750,2750,8.87,65000,2.10,426250,6.56,155.00,70.67,30.67
Back_To_School_2024,linkedin_ads,2024-08-20,Desktop,45-54,Male,580000,16000,2.76,13500,3800,1900,1400,8.75,38000,2.38,273000,7.18,195.00,71.85,30.26
Spring_Launch_2024,google_ads,2024-03-25,Desktop,25-34,Female,1100000,26000,2.36,21500,6200,3100,2250,8.65,55000,2.12,292500,5.32,130.00,71.13,30.65
Spring_Launch_2024,google_ads,2024-03-25,Mobile,25-34,Female,1550000,36000,2.32,29800,8600,4300,3150,8.75,72000,2.00,409500,5.69,130.00,70.93,30.23
Spring_Launch_2024,meta_ads,2024-03-25,Desktop,25-34,Female,880000,21000,2.39,17400,5000,2500,1820,8.67,46000,2.19,236600,5.14,130.00,71.26,30.80
Spring_Launch_2024,meta_ads,2024-03-25,Mobile,25-34,Female,1250000,29000,2.32,24000,6900,3450,2520,8.69,60000,2.07,327600,5.46,130.00,71.01,30.43
Spring_Launch_2024,linkedin_ads,2024-03-25,Desktop,35-44,Male,480000,13500,2.81,11400,3200,1600,1180,8.74,32000,2.37,224200,7.01,190.00,71.93,30.00
Valentine_Day_2024,google_ads,2024-02-10,Desktop,25-34,Female,680000,16000,2.35,13200,4200,2300,1700,10.63,38000,2.38,255000,6.71,150.00,68.33,31.30
Valentine_Day_2024,google_ads,2024-02-10,Mobile,25-34,Female,950000,22000,2.32,18200,5800,3200,2380,10.82,52000,2.36,357000,6.87,150.00,67.93,31.25
Valentine_Day_2024,meta_ads,2024-02-10,Desktop,25-34,Female,540000,13000,2.41,10700,3400,1870,1380,10.62,30000,2.31,207000,6.90,150.00,68.24,31.28
Valentine_Day_2024,meta_ads,2024-02-10,Mobile,25-34,Female,760000,18000,2.37,14800,4700,2600,1920,10.67,42000,2.33,288000,6.86,150.00,68.09,31.15
Valentine_Day_2024,snapchat_ads,2024-02-10,Mobile,18-24,Female,850000,16000,1.88,13200,4000,2200,1620,10.13,35000,2.19,243000,6.94,150.00,69.70,31.82
New_Year_2024,google_ads,2024-01-08,Desktop,25-34,Male,780000,18500,2.37,15300,4800,2650,1950,10.54,42000,2.27,292500,6.96,150.00,68.63,31.32
New_Year_2024,google_ads,2024-01-08,Mobile,25-34,Male,1100000,25000,2.27,20600,6500,3600,2650,10.60,58000,2.32,397500,6.85,150.00,68.46,31.11
New_Year_2024,meta_ads,2024-01-08,Desktop,25-34,Male,620000,15000,2.42,12400,3900,2150,1580,10.53,35000,2.33,237000,6.77,150.00,68.59,31.40
New_Year_2024,meta_ads,2024-01-08,Mobile,25-34,Male,880000,21000,2.39,17300,5400,3000,2200,10.47,48000,2.29,330000,6.88,150.00,68.89,31.11
New_Year_2024,linkedin_ads,2024-01-08,Desktop,35-44,Male,420000,12000,2.86,10100,3000,1650,1220,10.17,28000,2.33,244000,8.71,200.00,70.30,31.82
